year,abundance,density,pollution tolerant index,EPT index,EPT to total ratio,predominant taxon ratio,yearly mean of daily flow indices,yearly mean of daily mean temps,yearly stdev of daily flow indices,yearly stdev of daily mean temps,returns Spanish chum,releases Spanish,returns Indian chum,returns Kanaka chum,returns Kanaka chum (+4 yr),returns Cap coho,returns Cap chinook,returns Cap summer steelhead,returns Cap winter steelhead,returns Cap chum,returns Cap pink,number of improved West Van estuaries,West Van 1,West Van 2,West Van 3,West Van 4,West Van 5,West Van 6,West Van 7,West Van 8
1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4300,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5200,5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7300,1380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7644,650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6300,4300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3250,5200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000,7300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4750,7644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12750,6300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999,NaN,NaN,NaN,NaN,NaN,NaN,1.08559626436782,9.63114754098361,1.36157908795944,2.08258981267768,NaN,30000,NaN,6000,3250,17224,1365,67,41,0,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,NaN,NaN,NaN,NaN,NaN,0.714822404371585,9.1672131147541,1.00309194291619,2.97213286555157,NaN,31125,67632,1000,2000,20091,1260,42,109,17,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001,NaN,NaN,NaN,NaN,NaN,NaN,1.09767759562842,9.53934426229508,1.31706448908058,2.31129679967218,NaN,31191,115527,5500,4750,12953,515,23,33,15,45,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,204,755.56,23,11,0.42,0.3039,0.936441256830601,9.45737704918033,1.56684334400827,2.59560262857481,NaN,30990,119534,5250,12750,12897,1166,33,33,4,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,NaN,NaN,NaN,NaN,NaN,NaN,1.89723360655738,8.69016393442623,2.90242168007787,4.08850848590831,3,30590,134443,5000,6000,18542,535,9,74,10,729,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,NaN,NaN,NaN,NaN,NaN,NaN,1.0635587431694,9.32459016393442,0.977907555033093,3.16752562408498,65,30809,258328,7000,1000,9599,1021,16,83,36,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005,574,2125.93,31,9,0.38,0.4686,1.1937015503876,8.89508196721312,1.5921434407293,3.16945979779458,14,60871,64438,5500,5500,18312,1385,100,52,74,336,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,469,1737.04,18,9,0.3,0.4435,2.20850409836066,8.04262295081967,3.26173593949412,4.11053358322223,5,16388,NaN,5000,5250,18366,1025,10,50,52,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,NaN,NaN,NaN,NaN,NaN,NaN,0.768465909090909,8.24871794871795,0.615003066737036,3.27131647368229,3,39360,54082,3500,5000,24382,1547,0,26,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008,616,2281.48,19,12,0.16,0.7338,0.898975409836065,9.6655737704918,1.06164185272592,2.41287416759223,0,41623,114314,7709,7000,14718,2156,21,39,20,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009,NaN,NaN,NaN,NaN,NaN,NaN,1.96103395061728,9.23333333333334,2.27004867976914,2.41363827395783,0,0,197229,4000,5500,12431,652,1,48,96,197,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,NaN,NaN,NaN,NaN,NaN,NaN,1.12300967261905,8.94166666666667,1.24246072771378,4.48788545076733,2,50061,32911,1100,5000,5194,828,17,79,31,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011,349,1938.89,21,8,0.14,0.8223,1.24893518518518,8.38688524590164,1.65078809365154,3.02189098688421,1,86126,44044,3750,3500,15878,1314,1,66,5,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012,NaN,NaN,NaN,NaN,NaN,NaN,1.76524122807018,9.30983606557377,1.66314811386996,2.67816510058863,2,22171,145819,4300,7709,7514,416,8,49,27,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013,323,1794.44,22,6,0.22,0.6409,0.516849415204678,8.6655737704918,0.866524219984125,2.44948193474332,1,42377,140596,3351,4000,10463,2528,4,25,77,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014,448,2488.89,22,7,0.21,0.7009,1.90966981132075,10.3819672131148,1.99378487657799,4.25983208576431,9,41338,10623,2000,1100,17750,1712,2,50,22,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015,378,1400,19,7,0.11,0.8386,1.06772540983607,9.69344262295082,1.64202281162921,3.68193195901549,5,41679,14891,3200,3750,9431,687,10,24,NaN,22,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016,300,1111.11,21,12,0.52,0.36,1.73328210382514,10.6590163934426,1.53905235856582,2.09152074252049,0,32099,43729,7750,4300,22963,284,8,30,5,0,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017,267,988.89,21,8,0.35,0.5318,1.39986338797814,9.20327868852459,1.8635471445347,2.51117284770249,0,41988,65000,4500,3351,27840,1152,32,41,39,166,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018,NaN,NaN,NaN,NaN,NaN,NaN,1.51229897660819,9.95,1.91227565241744,2.13140361169165,0,31942,51275,2650,2000,26954,85,5,25,NaN,0,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019,116,1288.89,21,9,0.47,0.3362,0.626352339181286,8.7,0.970064451721092,2.4727669261753,1,2205,10333,900,3200,13897,250,4,19,3,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,6750,7750,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4500,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
